gene_symbol,sources,confidence,moi,evidence,disease,hgnc_id,in_clinvar
FKRP,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,myopathy caused by variation in FKRP,HGNC:17997,False
FKTN,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,myopathy caused by variation in FKTN,HGNC:3622,False
FLAD1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,myopathy with abnormal lipid metabolism,HGNC:24671,False
FLG2,GenCC,medium,Autosomal recessive,strong,peeling skin syndrome 6,,False
FLII,GenCC,medium,Autosomal recessive,strong,"cardiomyopathy, dilated, 2j",,False
FLNB,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,spondylocarpotarsal synostosis syndrome,HGNC:3755,False
FLT3LG,GenCC,medium,Autosomal recessive,moderate,immunodeficiency 125,,False
FLVCR1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,FLVCR1-related retinopathy with or without ataxia,HGNC:24682,False
FLVCR2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Fowler syndrome,HGNC:20105,False
FMN1,GenCC,medium,Autosomal recessive,moderate,hearing loss disorder,,False
FMN2,GenCC,medium,Autosomal recessive,strong,"intellectual disability, autosomal recessive 47",,False
FMO3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,trimethylaminuria,HGNC:3771,False
FNIP1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,FNIP1-associated syndrome,HGNC:29418,False
FOCAD,GenCC,medium,Autosomal recessive,strong,"liver disease, severe congenital",,False
FOLR1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,neurodegenerative syndrome due to cerebral folate transport deficiency,HGNC:3791,False
FOXE1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Bamforth-Lazarus syndrome,HGNC:3806,False
FOXE3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital primary aphakia,HGNC:3808,False
FOXF2,GenCC,medium,Autosomal recessive,moderate,sensorineural hearing loss disorder,,False
FOXI1,GenCC,medium,Autosomal recessive,strong,autosomal recessive distal renal tubular acidosis,,False
FOXN1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"T-cell immunodeficiency, congenital alopecia, and nail dystrophy",HGNC:12765,False
FOXRED1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,mitochondrial disease,HGNC:26927,False
FRA10AC1,GenCC,medium,Autosomal recessive,strong,"neurodevelopmental disorder with growth retardation, dysmorphic facies, and corpus callosum abnormalities",,False
FRAS1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Fraser syndrome,HGNC:19185,False
FREM1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,oculotrichoanal syndrome,HGNC:23399,False
FREM2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Fraser syndrome 2,HGNC:25396,False
FRMD4A,GenCC,medium,Autosomal recessive,strong,severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome,,False
FRRS1L,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,genetic developmental and epileptic encephalopathy,HGNC:1362,False
FRY,GenCC,medium,Autosomal recessive,moderate,neurodevelopmental disorder,,False
FSD1L,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder,,False
FSHB,GenCC,medium,Autosomal recessive,strong,hypogonadotropic hypogonadism 24 without anosmia,,False
FSHR,GenCC,medium,Autosomal recessive,strong,ovarian dysgenesis 1,,False
FSIP2,GenCC,medium,Autosomal recessive,strong,spermatogenic failure 34,,False
FTCD,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,formiminoglutamic aciduria,HGNC:3974,False
FTO,GenCC,medium,Autosomal recessive,strong,"lethal polymalformative syndrome, Boissel type",,False
FUCA1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,fucosidosis,HGNC:4006,False
FUT8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital disorder of glycosylation with defective fucosylation 1,HGNC:4019,False
FUZ,GenCC,medium,Autosomal recessive,strong,ciliopathy,,False
FXN,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Friedreich ataxia,HGNC:3951,False
