gene_symbol,sources,confidence,moi,evidence,disease,hgnc_id,in_clinvar
A4GALT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,A4GALT-congenital disorder of glycosylation,HGNC:18149,False
AAAS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,triple-A syndrome,HGNC:13666,False
AARS1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,undetermined early-onset epileptic encephalopathy,HGNC:20,False
AARS2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,mitochondrial disease,HGNC:21022,False
AASS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hyperlysinemia,HGNC:17366,False
ABAT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,GABA aminotransaminase deficiency,HGNC:23,False
ABCA1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Tangier disease,HGNC:29,False
ABCA12,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive congenital ichthyosis 4B,HGNC:14637,False
ABCA2,GenCC,medium,Autosomal recessive,strong,intellectual developmental disorder with poor growth and with or without seizures or ataxia,,False
ABCA3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,interstitial lung disease due to ABCA3 deficiency,HGNC:33,False
ABCA4,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,severe early-childhood-onset retinal dystrophy,HGNC:34,False
ABCB11,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,progressive familial intrahepatic cholestasis type 2,HGNC:42,False
ABCB4,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,progressive familial intrahepatic cholestasis type 3,HGNC:45,False
ABCC2,GenCC,medium,Autosomal recessive,strong,Dubin-Johnson syndrome,,False
ABCC4,GenCC,medium,Autosomal recessive,moderate,qualitative platelet defect,,False
ABCC6,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive inherited pseudoxanthoma elasticum,HGNC:57,False
ABCC8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,familial hyperinsulinism,HGNC:59,False
ABCC9,GenCC,medium,Autosomal recessive,strong,intellectual disability and myopathy syndrome,,False
ABCD3,GenCC,medium,Autosomal recessive,moderate,congenital bile acid synthesis defect 5,,False
ABCD4,GenCC,medium,Autosomal recessive,strong,"methylmalonic acidemia with homocystinuria, type cblJ",,False
ABCG5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,sitosterolemia,HGNC:13886,False
ABCG8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,sitosterolemia,HGNC:13887,False
ABHD12,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,PHARC syndrome,HGNC:15868,False
ABHD16A,GenCC,medium,Autosomal recessive,strong,"spastic paraplegia 86, autosomal recessive",,False
ABHD5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Dorfman-Chanarin disease,HGNC:21396,False
ACACA,GenCC,medium,Autosomal recessive,moderate,acetyl-coa carboxylase deficiency,,False
ACAD8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,isobutyryl-CoA dehydrogenase deficiency,HGNC:87,False
ACAD9,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,acyl-CoA dehydrogenase 9 deficiency,HGNC:21497,False
ACADM,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,medium chain acyl-CoA dehydrogenase deficiency,HGNC:89,False
ACADS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,short chain acyl-CoA dehydrogenase deficiency,HGNC:90,False
ACADSB,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,2-methylbutyryl-CoA dehydrogenase deficiency,HGNC:91,False
ACADVL,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,very long chain acyl-CoA dehydrogenase deficiency,HGNC:92,False
ACAN,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"spondyloepimetaphyseal dysplasia, aggrecan type",HGNC:319,False
ACAT1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,beta-ketothiolase deficiency,HGNC:93,False
ACBD5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,acyl-CoA binding domain containing protein 5 deficiency,HGNC:23338,False
ACBD6,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder with progressive movement abnormalities,,False
ACD,GenCC,medium,Autosomal recessive,strong,"dyskeratosis congenita, autosomal dominant 6",,False
ACE,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,renal tubular dysgenesis - ACE,HGNC:2707,False
ACER3,GenCC,medium,Autosomal recessive,strong,alkaline ceramidase 3 deficiency,,False
ACKR3,GenCC,medium,Autosomal recessive,moderate,oculomotor-abducens synkinesis,,False
ACO2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,mitochondrial disease,HGNC:118,False
ACOX1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,peroxisomal acyl-CoA oxidase deficiency,HGNC:119,False
ACOX2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital bile acid synthesis defect 6,HGNC:120,False
ACP4,GenCC,medium,Autosomal recessive,strong,"amelogenesis imperfecta, type 1J",,False
ACP5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Spondyloenchondrodysplasia with immune dysregulation,HGNC:124,False
ACSF3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,combined malonic and methylmalonic acidemia,HGNC:27288,False
ACSL5,GenCC,medium,Autosomal recessive,moderate,diarrhea 13,,False
ACTA1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,alpha-actinopathy,HGNC:129,False
ACTL6B,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"developmental and epileptic encephalopathy, 76",HGNC:160,False
ACTL9,GenCC,medium,Autosomal recessive,strong,spermatogenic failure 53,,False
ACY1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,aminoacylase 1 deficiency,HGNC:177,False
ADA,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",HGNC:186,False
ADA2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,deficiency of adenosine deaminase 2,HGNC:1839,False
ADAM17,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"inflammatory skin and bowel disease, neonatal, 1",HGNC:195,False
ADAM22,GenCC,medium,Autosomal recessive,strong,"developmental and epileptic encephalopathy, 61",,False
ADAM9,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ADAM9-related retinopathy,HGNC:216,False
ADAMTS10,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Weill-Marchesani syndrome 1,HGNC:13201,False
ADAMTS13,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital thrombotic thrombocytopenic purpura,HGNC:1366,False
ADAMTS15,GenCC,medium,Autosomal recessive,strong,"arthrogryposis, distal, type 12",,False
ADAMTS17,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"Weill-Marchesani 4 syndrome, recessive",HGNC:17109,False
ADAMTS18,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,microcornea-myopic chorioretinal atrophy,HGNC:17110,False
ADAMTS19,GenCC,medium,Autosomal recessive,strong,cardiac valvular dysplasia 2,,False
ADAMTS2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"Ehlers-Danlos syndrome, dermatosparaxis type",HGNC:218,False
ADAMTS3,GenCC,medium,Autosomal recessive,strong,hennekam lymphangiectasia-lymphedema syndrome 3,,False
ADAMTS9,GenCC,medium,Autosomal recessive,moderate,nephropathy-associated ciliopathy,,False
ADAMTSL2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,geleophysic dysplasia 1,HGNC:14631,False
ADAMTSL4,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"ectopia lentis 2, isolated, autosomal recessive",HGNC:19706,False
ADAR,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Aicardi-Goutieres syndrome 6,HGNC:225,False
ADARB1,GenCC,medium,Autosomal recessive,strong,"neurodevelopmental disorder with hypotonia, microcephaly, and seizures",,False
ADAT3,GenCC,medium,Autosomal recessive,strong,intellectual disability-strabismus syndrome,,False
ADCY3,GenCC,medium,Autosomal recessive,strong,body mass index quantitative trait locus 19,,False
ADCY5,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder with hyperkinetic movements and dyskinesia,,False
ADCY6,GenCC,medium,Autosomal recessive,strong,lethal congenital contracture syndrome 8,,False
ADD3,GenCC,medium,Autosomal recessive,strong,"cerebral palsy, spastic quadriplegic, 3",,False
ADGRG1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,bilateral frontoparietal polymicrogyria,HGNC:4512,False
ADGRG6,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,lethal congenital contracture syndrome 9,HGNC:13841,False
ADGRV1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Usher syndrome type 2,HGNC:17416,False
ADH5,GenCC,medium,Autosomal recessive,strong,"AMED syndrome, digenic",,False
ADK,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,adenosine kinase deficiency,HGNC:257,False
ADPRS,GenCC,medium,Autosomal recessive,strong,"neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures",,False
ADSL,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,adenylosuccinate lyase deficiency,HGNC:291,False
ADSS1,GenCC,medium,Autosomal recessive,strong,"myopathy, distal, 5",,False
AEBP1,GenCC,medium,Autosomal recessive,strong,"Ehlers-Danlos syndrome, classic-like, 2",,False
AFG2A,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,syndromic complex neurodevelopmental disorder,HGNC:18119,False
AFG2B,GenCC,medium,Autosomal recessive,strong,"hearing loss, autosomal recessive 119",,False
AFG3L2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,spastic ataxia 5,HGNC:315,False
AFP,GenCC,medium,Autosomal recessive,moderate,congenital deficiency in alpha-fetoprotein,,False
AGA,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,aspartylglucosaminuria,HGNC:318,False
AGBL5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,inherited retinal dystrophy,HGNC:26147,False
AGK,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,mitochondrial disease,HGNC:21869,False
AGL,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,glycogen storage disease III,HGNC:321,False
AGMO,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder,,False
AGPAT2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,lipodystrophy,HGNC:325,False
AGPAT3,GenCC,medium,Autosomal recessive,moderate,neurodevelopmental disorder,,False
AGPS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,alkylglycerone-phosphate synthase deficiency,HGNC:327,False
AGR2,GenCC,medium,Autosomal recessive,strong,"respiratory infections, recurrent, and failure to thrive with or without diarrhea",,False
AGRN,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital myasthenic syndrome 8,HGNC:329,False
AGT,GenCC,medium,Autosomal recessive,strong,renal tubular dysgenesis of genetic origin,,False
AGTPBP1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"neurodegeneration, childhood-onset, with cerebellar atrophy",HGNC:17258,False
AGTR1,GenCC,medium,Autosomal recessive,strong,renal tubular dysgenesis of genetic origin,,False
AGXT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,primary hyperoxaluria type 1,HGNC:341,False
AHCY,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase,HGNC:343,False
AHI1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Joubert syndrome 3,HGNC:21575,False
AHR,GenCC,medium,Autosomal recessive,strong,retinitis pigmentosa 85,,False
AICDA,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hyper-IgM syndrome type 2,HGNC:13203,False
AIMP1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hypomyelinating leukodystrophy 3,HGNC:10648,False
AIMP2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"leukodystrophy, hypomyelinating, 17",HGNC:20609,False
AIPL1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,AIPL1-related retinopathy,HGNC:359,False
AIRE,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autoimmune polyendocrine syndrome type 1,HGNC:360,False
AK1,GenCC,medium,Autosomal recessive,strong,hemolytic anemia due to adenylate kinase deficiency,,False
AK2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,reticular dysgenesis,HGNC:362,False
AKAP9,GenCC,medium,Autosomal recessive,moderate,male infertility with azoospermia or oligozoospermia due to single gene mutation,,False
AKR1D1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital bile acid synthesis defect 2,HGNC:388,False
ALAD,GenCC,medium,Autosomal recessive,strong,porphyria due to ALA dehydratase deficiency,,False
ALB,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital analbuminemia,HGNC:399,False
ALDH18A1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ALDH18A1-related de Barsy syndrome,HGNC:9722,False
ALDH1A2,GenCC,medium,Autosomal recessive,strong,"diaphragmatic hernia 4, with cardiovascular defects",,False
ALDH1A3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,isolated anophthalmia-microphthalmia syndrome,HGNC:409,False
ALDH3A2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Sjogren-Larsson syndrome,HGNC:403,False
ALDH4A1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hyperprolinemia type 2,HGNC:406,False
ALDH5A1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,succinic semialdehyde dehydrogenase deficiency,HGNC:408,False
ALDH6A1,GenCC,medium,Autosomal recessive,strong,methylmalonate semialdehyde dehydrogenase deficiency,,False
ALDH7A1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,pyridoxine-dependent epilepsy,HGNC:877,False
ALDOA,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,glycogen storage disease due to aldolase A deficiency,HGNC:414,False
ALDOB,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hereditary fructose intolerance,HGNC:417,False
ALG1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ALG1-congenital disorder of glycosylation,HGNC:18294,False
ALG11,GenCC,medium,Autosomal recessive,strong,ALG11-congenital disorder of glycosylation,,False
ALG12,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ALG12-congenital disorder of glycosylation,HGNC:19358,False
ALG14,GenCC,medium,Autosomal recessive,strong,congenital myasthenic syndrome 15,,False
ALG2,GenCC,medium,Autosomal recessive,strong,ALG2-congenital disorder of glycosylation,,False
ALG3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ALG3-congenital disorder of glycosylation,HGNC:23056,False
ALG6,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ALG6-congenital disorder of glycosylation 1C,HGNC:23157,False
ALG8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ALG8-congenital disorder of glycosylation,HGNC:23161,False
ALG9,GenCC,medium,Autosomal recessive,strong,ALG9-congenital disorder of glycosylation,,False
ALKBH8,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"intellectual developmental disorder, autosomal recessive 71",HGNC:25189,False
ALMS1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Alstrom syndrome,HGNC:428,False
ALOX12B,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive congenital ichthyosis 2,HGNC:430,False
ALOXE3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive congenital ichthyosis 3,HGNC:13743,False
ALPI,GenCC,medium,Autosomal recessive,moderate,inflammatory bowel disease,,False
ALPK3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hypertrophic cardiomyopathy,HGNC:17574,False
ALPL,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,childhood hypophosphatasia,HGNC:438,False
ALS2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ALS2-related motor neuron disease,HGNC:443,False
ALX1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,frontonasal dysplasia - severe microphthalmia - severe facial clefting syndrome,HGNC:1494,False
ALX3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,frontorhiny,HGNC:449,False
ALX4,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,frontonasal dysplasia with alopecia and genital anomaly,HGNC:450,False
AMACR,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,alpha-methylacyl-CoA racemase deficiency,HGNC:451,False
AMBN,GenCC,medium,Autosomal recessive,strong,amelogenesis imperfecta type 1F,,False
AMFR,GenCC,medium,Autosomal recessive,strong,"spastic paraplegia 89, autosomal recessive",,False
AMH,GenCC,medium,Autosomal recessive,strong,persistent Mullerian duct syndrome,,False
AMHR2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,persistent Mullerian duct syndrome,HGNC:465,False
AMN,GenCC,medium,Autosomal recessive,strong,Imerslund-Grasbeck syndrome type 1,,False
AMPD1,GenCC,medium,Autosomal recessive,strong,myopathy due to myoadenylate deaminase deficiency,,False
AMPD2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,pontocerebellar hypoplasia type 9,HGNC:469,False
AMT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,glycine encephalopathy,HGNC:473,False
ANAPC1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Rothmund-Thomson syndrome type 1,HGNC:19988,False
ANAPC7,GenCC,medium,Autosomal recessive,strong,Ferguson-Bonni neurodevelopmental syndrome,,False
ANGPTL3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,familial hypobetalipoproteinemia 2,HGNC:491,False
ANK3,GenCC,medium,Autosomal recessive,strong,intellectual disability-hypotonia-spasticity-sleep disorder syndrome,,False
ANKLE2,GenCC,medium,Autosomal recessive,strong,"microcephaly 16, primary, autosomal recessive",,False
ANKRD24,GenCC,medium,Autosomal recessive,moderate,sensorineural hearing loss disorder,,False
ANKS6,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,nephronophthisis 16,HGNC:26724,False
ANKZF1,GenCC,medium,Autosomal recessive,moderate,inflammatory bowel disease,,False
ANO1,GenCC,medium,Autosomal recessive,moderate,intestinal dysmotility syndrome,,False
ANO10,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive spinocerebellar ataxia 10,HGNC:25519,False
ANO5,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive limb-girdle muscular dystrophy,HGNC:27337,False
ANO6,GenCC,medium,Autosomal recessive,strong,Scott syndrome,,False
ANTXR1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,GAPO syndrome,HGNC:21014,False
ANTXR2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hyaline fibromatosis syndrome,HGNC:21732,False
AP1B1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"ichthyosiform erythroderma, corneal involvement, and hearing loss",HGNC:554,False
AP1G1,GenCC,medium,Autosomal recessive,strong,"Usmani-Riazuddin syndrome, autosomal recessive",,False
AP1S1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,MEDNIK syndrome,HGNC:559,False
AP3B1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Hermansky-Pudlak syndrome 2,HGNC:566,False
AP3B2,GenCC,medium,Autosomal recessive,strong,"developmental and epileptic encephalopathy, 48",,False
AP3D1,GenCC,medium,Autosomal recessive,strong,Hermansky-Pudlak syndrome 10,,False
AP4B1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,AP-4 deficiency syndrome,HGNC:572,False
AP4E1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,AP-4 deficiency syndrome,HGNC:573,False
AP4M1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hereditary spastic paraplegia 50,HGNC:574,False
AP4S1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,AP-4 deficiency syndrome,HGNC:575,False
AP5Z1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hereditary spastic paraplegia,HGNC:22197,False
APC2,GenCC,medium,Autosomal recessive,strong,lissencephaly spectrum disorders,,False
APOA1,GenCC,medium,Autosomal recessive,strong,"hypoalphalipoproteinemia, primary, 2",,False
APOB,GenCC,medium,Autosomal recessive,strong,familial hypobetalipoproteinemia 1,,False
APOC2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,familial apolipoprotein C-II deficiency,HGNC:609,False
APOE,GenCC,medium,Autosomal recessive,strong,hyperlipoproteinemia type 3,,False
APOL1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"focal segmental glomerulosclerosis 4, susceptibility to",HGNC:618,False
APRT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,adenine phosphoribosyltransferase deficiency,HGNC:626,False
APTX,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia",HGNC:15984,False
AQP2,GenCC,medium,Autosomal recessive,strong,"diabetes insipidus, nephrogenic, autosomal",,False
AQP4,GenCC,medium,Autosomal recessive,moderate,"megalencephalic leukoencephalopathy with subcortical cysts 4, remitting",,False
ARFGEF2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"periventricular heterotopia with microcephaly, autosomal recessive",HGNC:15853,False
ARG1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,arginase deficiency,HGNC:663,False
ARHGDIA,GenCC,medium,Autosomal recessive,strong,"nephrotic syndrome, type 8",,False
ARHGEF1,GenCC,medium,Autosomal recessive,moderate,immunodeficiency 62,,False
ARHGEF18,GenCC,medium,Autosomal recessive,strong,retinitis pigmentosa 78,,False
ARHGEF28,GenCC,medium,Autosomal recessive,moderate,amyotrophic lateral sclerosis,,False
ARL13B,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Joubert syndrome,HGNC:25419,False
ARL2BP,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ciliopathy,HGNC:17146,False
ARL3,GenCC,medium,Autosomal recessive,strong,Joubert syndrome 35,,False
ARL6,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ciliopathy,HGNC:13210,False
ARL6IP1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,hereditary spastic paraplegia,HGNC:697,False
ARMC2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,spermatogenic failure 38,HGNC:23045,False
ARMC9,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Joubert syndrome 30,HGNC:20730,False
ARNT2,GenCC,medium,Autosomal recessive,strong,Webb-Dattani syndrome,,False
ARPC1B,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,platelet abnormalities with eosinophilia and immune-mediated inflammatory disease,HGNC:704,False
ARPC5,GenCC,medium,Autosomal recessive,strong,immunodeficiency 113 with autoimmunity and autoinflammation,,False
ARSA,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"metachromatic leukodystrophy, juvenile form",HGNC:713,False
ARSB,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,mucopolysaccharidosis type 6,HGNC:714,False
ARSG,GenCC,medium,Autosomal recessive,strong,"Usher syndrome, type 4",,False
ARSK,GenCC,medium,Autosomal recessive,strong,"mucopolysaccharidosis, type 10",,False
ART4,GenCC,medium,Autosomal recessive,moderate,age related macular degeneration 8,,False
ARV1,GenCC,medium,Autosomal recessive,strong,"developmental and epileptic encephalopathy, 38",,False
ASAH1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ASAH1-related sphingolipidosis,HGNC:735,False
ASCC1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,spinal muscular atrophy with congenital bone fractures 2,HGNC:24268,False
ASCC3,GenCC,medium,Autosomal recessive,strong,"intellectual developmental disorder, autosomal recessive 81",,False
ASL,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,argininosuccinic aciduria,HGNC:746,False
ASNS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome,HGNC:753,False
ASPA,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Canavan disease,HGNC:756,False
ASPH,GenCC,medium,Autosomal recessive,strong,facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome,,False
ASPM,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive primary microcephaly,HGNC:19048,False
ASS1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,citrullinemia type I,HGNC:758,False
ASTN1,GenCC,medium,Autosomal recessive,strong,cerebral malformation,,False
ASZ1,GenCC,medium,Autosomal recessive,moderate,male infertility with azoospermia or oligozoospermia due to single gene mutation,,False
ATAD1,GenCC,medium,Autosomal recessive,strong,hyperekplexia 4,,False
ATAD2B,GenCC,medium,Autosomal recessive,moderate,neurodevelopmental disorder,,False
ATAD3A,GenCC,medium,Autosomal recessive,strong,Harel-Yoon syndrome,,False
ATCAY,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,cerebellar ataxia,HGNC:779,False
ATF6,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ATF6-related retinopathy,HGNC:791,False
ATG4D,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder,,False
ATG5,GenCC,medium,Autosomal recessive,moderate,"spinocerebellar ataxia, autosomal recessive 25",,False
ATG7,GenCC,medium,Autosomal recessive,strong,"spinocerebellar ataxia, autosomal recessive 31",,False
ATIC,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,AICA-ribosiduria,HGNC:794,False
ATL1,GenCC,medium,Autosomal recessive,strong,hereditary spastic paraplegia 3A,,False
ATM,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,ataxia telangiectasia,HGNC:795,False
ATOH1,GenCC,medium,Autosomal recessive,moderate,pontocerebellar hypoplasia,,False
ATOH7,GenCC,medium,Autosomal recessive,strong,"persistent hyperplastic primary vitreous, autosomal recessive",,False
